side sector tile interfaceBoard ch
0 9 30 2 31
0 9 31 2 0
0 10 0 2 48
0 10 1 2 33
0 10 2 2 49
0 10 3 2 34
0 10 4 2 50
0 10 5 2 35
0 10 6 2 51
0 10 7 2 36
0 10 8 2 52
0 10 9 2 37
0 10 10 2 53
0 10 11 2 38
0 10 12 2 54
0 10 13 2 39
0 10 14 2 55
0 10 15 2 40
0 10 16 2 56
0 10 17 2 41
0 10 18 2 57
0 10 19 2 42
0 10 20 2 58
0 10 21 2 43
0 10 22 2 59
0 10 23 2 44
0 10 24 2 60
0 10 25 2 45
0 10 26 2 61
0 10 27 2 46
0 10 28 2 62
0 10 29 2 47
0 10 30 2 63
0 10 31 2 32
0 11 0 4 48
0 11 1 4 33
0 11 2 4 49
0 11 3 4 34
0 11 4 4 50
0 11 5 4 35
0 11 6 4 51
0 11 7 4 36
0 11 8 4 52
0 11 9 4 37
0 11 10 4 53
0 11 11 4 38
0 11 12 4 54
0 11 13 4 39
0 11 14 4 55
0 11 15 4 40
0 11 16 4 56
0 11 17 4 41
0 11 18 4 57
0 11 19 4 42
0 11 20 4 58
0 11 21 4 43
0 11 22 4 59
0 11 23 4 44
0 11 24 4 60
0 11 25 4 45
0 11 26 4 61
0 11 27 4 46
0 11 28 4 62
0 11 29 4 47
0 11 30 4 63
0 11 31 4 32
1 0 0 7 48
1 0 1 7 33
1 0 2 7 49
1 0 3 7 34
1 0 4 7 50
1 0 5 7 35
1 0 6 7 51
1 0 7 7 36
1 0 8 7 52
1 0 9 7 37
1 0 10 7 53
1 0 11 7 38
1 0 12 7 54
1 0 13 7 39
1 0 14 7 55
1 0 15 7 40
1 0 16 7 56
1 0 17 7 41
1 0 18 7 57
1 0 19 7 42
1 0 20 7 58
1 0 21 7 43
1 0 22 7 59
1 0 23 7 44
1 0 24 7 60
1 0 25 7 45
1 0 26 7 61
1 0 27 7 46
1 0 28 7 62
1 0 29 7 47
1 0 30 7 63
1 0 31 7 32
1 1 0 8 48
1 1 1 8 33
1 1 2 8 49
1 1 3 8 34
1 1 4 8 50
1 1 5 8 35
1 1 6 8 51
1 1 7 8 36
1 1 8 8 52
1 1 9 8 37
1 1 10 8 53
1 1 11 8 38
